Feature,Importance
numerical__PageValues,0.31763188569258044
numerical__ExitRates,0.08174527980626632
numerical__ProductRelated_Duration,0.08027100927953931
numerical__ProductRelated,0.07016443128624547
numerical__Administrative_Duration,0.05382881109321491
numerical__BounceRates,0.05151818614202693
numerical__Administrative,0.04381452890638553
numerical__Informational_Duration,0.025948381911881355
categorical__Month_Nov,0.02042472381041854
numerical__Informational,0.018498332795043034
categorical__Region_1,0.011047237921318965
categorical__TrafficType_2,0.01049700476894203
categorical__Region_3,0.009125095752323379
categorical__Browser_2,0.008871077224897845
categorical__Weekend_True,0.008644985021545058
categorical__Weekend_False,0.008451365394151526
categorical__OperatingSystems_2,0.008406312798289394
categorical__VisitorType_Returning_Visitor,0.007771410796851494
categorical__VisitorType_New_Visitor,0.00768715506608289
categorical__Month_May,0.007214608586266421
categorical__OperatingSystems_3,0.007105384000318795
categorical__Month_Dec,0.006760629379237325
categorical__TrafficType_1,0.006758886370873297
categorical__Region_2,0.0064145168206964
categorical__OperatingSystems_1,0.006374275172091517
categorical__Browser_1,0.006088959467468097
categorical__Region_4,0.005961870876757131
categorical__TrafficType_3,0.005919146638846003
categorical__Month_Mar,0.00563796301569853
categorical__Region_7,0.004928601244733449
categorical__Browser_4,0.004927842222661613
categorical__Month_Oct,0.004794795051268189
categorical__Region_6,0.004713922210062826
categorical__TrafficType_4,0.004659673994587772
categorical__TrafficType_8,0.0046511289858711564
categorical__TrafficType_10,0.004441977418440089
numerical__SpecialDay,0.004353124420161934
categorical__Month_Sep,0.004153535511502573
categorical__Region_9,0.004012789508219684
categorical__Month_Jul,0.0040081221276766135
categorical__Month_Aug,0.0036299345098738402
categorical__Browser_5,0.0034394152099966806
categorical__OperatingSystems_4,0.0033107271390433353
categorical__Region_8,0.003220943443787922
categorical__Region_5,0.003188049236940711
categorical__TrafficType_5,0.0028517428320006546
categorical__TrafficType_6,0.0027988189138537078
categorical__TrafficType_13,0.002747344589507133
categorical__TrafficType_20,0.0023946313084686967
categorical__TrafficType_11,0.0022696468858478315
categorical__Month_June,0.002051930561754549
categorical__Browser_10,0.0018370664436601165
categorical__Browser_6,0.001475517855021601
categorical__Browser_8,0.0011677548636200362
categorical__TrafficType_7,0.0010302858692270462
categorical__VisitorType_Other,0.0006269529774470245
categorical__OperatingSystems_8,0.00048407708733043365
categorical__Browser_13,0.000465047214469876
categorical__Browser_12,0.0004640505547739179
categorical__Browser_7,0.00044581359547195883
categorical__Browser_3,0.0004154087122057646
categorical__Month_Feb,0.00039994354956074195
categorical__TrafficType_9,0.00023156140778860855
categorical__TrafficType_14,0.0002260275370442758
categorical__OperatingSystems_7,0.0002031904233493139
categorical__OperatingSystems_6,0.0001425220902610075
categorical__Browser_11,7.845990487622771e-05
categorical__OperatingSystems_5,6.845993728782586e-05
categorical__TrafficType_19,6.170713525072315e-05
categorical__TrafficType_15,3.7735777634576256e-05
categorical__TrafficType_18,4.9579001168372374e-06
categorical__TrafficType_16,1.0679837009541425e-06
categorical__Browser_9,2.3776203099572546e-07
categorical__TrafficType_17,2.953512835823391e-10
