Feature,Importance_Mean,Importance_Std
PageValues,0.47976269668807936,0.01554415251155908
ExitRates,0.07924968194710189,0.013609749652430754
Month,0.057403347405467,0.01257538640112427
BounceRates,0.04381929395103686,0.012079838981938701
ProductRelated_Duration,0.03226017657911477,0.006886667790351594
ProductRelated,0.021984166549603022,0.008215440319963454
TrafficType,0.0152206982874581,0.005858580015550552
Weekend,0.009301430287380475,0.005289668643116668
OperatingSystems,0.007788047228579342,0.007285463461549556
Informational,0.00727026771109619,0.003581085054575599
Browser,0.006853939801040853,0.0029269285427003444
Administrative,0.006694215322939789,0.004774641845485325
Informational_Duration,0.0030332237065193502,0.005027189803907691
Region,0.001982105485724317,0.004116858830915853
SpecialDay,3.568988235874704e-05,0.0016783143155452997
VisitorType,-0.0029383845655436168,0.0033859178648553076
Administrative_Duration,-0.005950076464230602,0.005779590304200176
